Reference, Value, Footprint, Datasheet, Part Number, Manufacturer, Package, Supplier, Order Code, Note, Alt. Supplier, Alt. Order Code
C18,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,302010138
C22,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,302010138
C21,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,302010138
U6,74HCT165,,,CD74HCT165M96,Texas Instruments,SO-16,Farnell,2407147,8-bit parallel-to-serial shift register,,
U7,74AHCT1G125,,,SN74AHCT1G125DCKT,Texas Instruments,SC-70,Farnell,1470731,Buffer non-inverting 3-state,,
M1,PT2272,Socket_Strips:Socket_Strip_Straight_1x07,
M2,PT2272,Socket_Strips:Socket_Strip_Straight_1x07,
U5,74AHC1G02,,,SN74AHC1G02DCKR,Texas Instruments,SC-70,Farnell,1287442,NOR gate 2-input,,
R25,1k5,,,RC0603JR-071K5L,Yageo,0603,Farnell,9233407,1.5kΩ/1% 0603 resistor,Open Parts Library,301010114
R26,3k,,,RC0603FR-073KL,Yageo,0603,Farnell,9330976,3kΩ/1% 0603 resistor,Open Parts Library,
C25,10p,Capacitors_SMD:C_0603,,CC0603JRNPO9BN100,Yageo,0603,Farnell,721967,10pF/50V C0G/NP0 0603 ceramic capacitor,Open Parts Library,
C24,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,
C26,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,
C27,100n,Capacitors_SMD:C_0603,,CC0603KRX7R9BB104,Yageo,0603,Farnell,1362556,100nF/50V X7R 0603 ceramic capacitor,Open Parts Library,
C28,10p,Capacitors_SMD:C_0603,,CC0603JRNPO9BN100,Yageo,0603,Farnell,721967,10pF/50V C0G/NP0 0603 ceramic capacitor,Open Parts Library,
R27,1k5,,,RC0603JR-071K5L,Yageo,0603,Farnell,9233407,1.5kΩ/1% 0603 resistor,Open Parts Library,301010114
R28,3k,,,RC0603FR-073KL,Yageo,0603,Farnell,9330976,3kΩ/1% 0603 resistor,Open Parts Library,
